,id,caption,file
9,661611,Closeup of bins of food that include broccoli and bread.,000000000009.jpg
9,661977,A meal is presented in brightly colored plastic trays.,000000000009.jpg
9,663627,there are containers filled with different kinds of foods,000000000009.jpg
9,666765,"Colorful dishes holding meat, vegetables, fruit, and bread.",000000000009.jpg
9,667602,A bunch of trays that have different food.,000000000009.jpg
25,122312,A giraffe eating food from the top of the tree.,000000000025.jpg
25,127076,A giraffe standing up nearby a tree ,000000000025.jpg
25,127238,A giraffe mother with its baby in the forest.,000000000025.jpg
25,133058,Two giraffes standing in a tree filled area.,000000000025.jpg
25,133676,A giraffe standing next to a forest filled with trees.,000000000025.jpg
30,695774,A flower vase is sitting on a porch stand.,000000000030.jpg
30,696557,White vase with different colored flowers sitting inside of it. ,000000000030.jpg
30,699041,a white vase with many flowers on a stage,000000000030.jpg
30,701216,A white vase filled with different colored flowers.,000000000030.jpg
30,702428,A vase with red and white flowers outside on a sunny day.,000000000030.jpg
34,199400,A zebra grazing on lush green grass in a field.,000000000034.jpg
34,203468,Zebra reaching its head down to ground where grass is. ,000000000034.jpg
34,213134,The zebra is eating grass in the sun.,000000000034.jpg
34,213887,A lone zebra grazing in some green grass.,000000000034.jpg
34,217841,a Zebra grazing on grass in a green open field.,000000000034.jpg
36,552549,Woman in swim suit holding parasol on sunny day.,000000000036.jpg
36,556653,"A woman posing for the camera, holding a pink, open umbrella and wearing a bright, floral, ruched bathing suit, by a life guard stand with lake, green trees, and a blue sky with a few clouds behind.",000000000036.jpg
36,556899,A woman in a floral swimsuit holds a pink umbrella.,000000000036.jpg
36,557547,A woman with an umbrella near the sea,000000000036.jpg
36,559824,A girl in a bathing suit with a pink umbrella.,000000000036.jpg
42,641613,This wire metal rack holds several pairs of shoes and sandals,000000000042.jpg
42,645309,A dog sleeping on a show rack in the shoes.,000000000042.jpg
42,650217,Various slides and other footwear rest in a metal basket outdoors.,000000000042.jpg
42,650868,A small dog is curled up on top of the shoes,000000000042.jpg
42,652383,a shoe rack with some shoes and a dog sleeping on them,000000000042.jpg
49,584400,A couple of men riding horses on top of a green field.,000000000049.jpg
49,584589,two horses and their riders on some grass,000000000049.jpg
49,592140,Two men are on horses that are reared back.,000000000049.jpg
49,593085,A pair of horses performing tricks in a field. ,000000000049.jpg
49,595290,Two costumed horse riders make their horses stand on their hind legs.,000000000049.jpg
61,444409,They are brave for riding in the jungle on those elephants.,000000000061.jpg
61,446671,SOME PEOPLE IN THE WOODS RIDING TWO ELEPHANTS,000000000061.jpg
61,452062,Some people who are riding on top of elephants.,000000000061.jpg
61,452272,there are people riding elephants in the middle of a forest,000000000061.jpg
61,455584,Several elephants in the jungle carrying people on their backs,000000000061.jpg
64,467168,a black and silver clock tower at an intersection near a tree,000000000064.jpg
64,470150,A clock sits on top of a black pole near a tree on a sidewalk near a crosswalk.,000000000064.jpg
64,473093,A pole with a clock that reads 6:10 by a white car. ,000000000064.jpg
64,475460,A clock is seen in front of a tall tree.,000000000064.jpg
64,480152,A very pretty clock on the side of a road.,000000000064.jpg
71,533859,A train coming to a stop on the tracks out side.,000000000071.jpg
71,534900,The very long train is travelling down the tracks.,000000000071.jpg
71,536169,A passenger train glides around a curve on the outer track.,000000000071.jpg
71,537195,A train coming down the tracks in the city.,000000000071.jpg
71,537888,A train engine carrying many carts down a track.,000000000071.jpg
72,454068,A couple of giraffe snuggling each other in a forest.,000000000072.jpg
72,454860,A couple of giraffe standing next to some trees.,000000000072.jpg
72,457653,Two Zebras seem to be embracing in the wild. ,000000000072.jpg
72,460104,Two giraffes hang out near trees and nuzzle up to each other.,000000000072.jpg
72,821144,The two giraffes appear to be hugging each other.,000000000072.jpg
73,593422,A motorcycle parked in a parking space next to another motorcycle.,000000000073.jpg
73,746071,An old motorcycle parked beside other motorcycles with a brown leather seat.,000000000073.jpg
73,746170,Motorcycle parked in the parking lot of asphalt.,000000000073.jpg
73,746914,"A close up view of a motorized bicycle, sitting in a rack. ",000000000073.jpg
73,748185,The back tire of an old style motorcycle is resting in a metal stand. ,000000000073.jpg
74,145996,A picture of a dog laying on the ground.,000000000074.jpg
74,146710,Dog snoozing by a bike on the edge of a cobblestone street,000000000074.jpg
74,149398,The white dog lays next to the bicycle on the sidewalk.,000000000074.jpg
74,149638,a white dog is sleeping on a street and a bicycle,000000000074.jpg
74,150181,A puppy rests on the street next to a bicycle.,000000000074.jpg
77,567271,A young man riding a skateboard into the air.,000000000077.jpg
77,569752,a group of teenagers jumping a ramp on their skateboards,000000000077.jpg
77,573184,A time lapse image of a guy on a skate board.,000000000077.jpg
77,579604,Group of boys performing skateboard trick on ramp with graffiti on it,000000000077.jpg
77,582316,some male skateboarders are doing some tricks and grafitti,000000000077.jpg
78,755795,A lighted owl candle sits next to a clock.,000000000078.jpg
78,758024,White clock sitting next to a statue of an owl. ,000000000078.jpg
78,759054,a close up of a clock near an owl candle holder ,000000000078.jpg
78,761571,An antique looking clock beside an owl with a candle in it.,000000000078.jpg
78,762369,An owl candle and a clock sitting in front of a wall.,000000000078.jpg
81,805105,A big airplane flying in the big blue sky,000000000081.jpg
81,812647,"Large, two decked, four engined airliner in flight.",000000000081.jpg
81,812671,An AirFrance jet airplane flying in the sky ,000000000081.jpg
81,815397,A big plane with AirFrance on the side of it.,000000000081.jpg
81,815936,An Air France air plane in mid flight.,000000000081.jpg
86,50422,A man riding a motor bike across a forest.,000000000086.jpg
86,51673,A man sitting on a motorcycle in the woods.,000000000086.jpg
86,58675,A young person is on a very ornate old bicycle.,000000000086.jpg
86,61768,A person looks down at something while sitting on a bike. ,000000000086.jpg
86,66658,A man on a an old fashioned bicycle in the woods ,000000000086.jpg
89,40576,An oven with a stove on top of it in a kitchen.,000000000089.jpg
89,41275,A stove with a lighted hood in the kitchen.,000000000089.jpg
89,53809,A small light is on above the polished stove top.,000000000089.jpg
89,55021,Smooth top stove with exhaust fan that has light turned on.,000000000089.jpg
89,56911,A stove top is cleaned with a set of knives on the wall.,000000000089.jpg
92,504416,A white plate with a brownie and white frosting.,000000000092.jpg
92,504515,A piece of chocolate cake on top of a white plate.,000000000092.jpg
92,510467,a chocolate cake and a fork ready to be eat,000000000092.jpg
92,512321,A chocolate desert on a plate with a fork. ,000000000092.jpg
92,550205,A piece of chocolate dessert on a plate with a napkin and a fork.,000000000092.jpg
94,348617,There is a street lined with packed buildings,000000000094.jpg
94,351050,There is a car driving down a street with buildings on each side.,000000000094.jpg
94,352496,A street sign and a car on the road.,000000000094.jpg
94,352580,This is a view of a quaint city street.,000000000094.jpg
94,355106,"A city street with a sign that reads ""Peace Way Hotel"".",000000000094.jpg
109,199218,A skate park next to a body of water and green park.,000000000109.jpg
109,208458,Sky view of a walkway along the shore of a river.,000000000109.jpg
109,210216,A wide walkway allows for walks along the river.,000000000109.jpg
109,214800,A waterfront walkway and garden area next to a river.,000000000109.jpg
109,219372,some grass and a person in a blue shirt walking a dog and water,000000000109.jpg
110,578237,Woman cutting pizza with fork and knife sitting next to young girl,000000000110.jpg
110,582764,A woman and child sitting at a table with a pizza in front of them.,000000000110.jpg
110,586163,A lady and a child are sitting.The lady is cutting pizza pieces.,000000000110.jpg
110,587789,A woman cutting a pizza with a fork and knife.,000000000110.jpg
110,588935,A woman cutting a pizza with a fork and knife ,000000000110.jpg
113,775939,a man and woman cut into a big cake ,000000000113.jpg
113,780412,A man and woman standing in front of a cake.,000000000113.jpg
113,780745,A women who is cutting into a cake.,000000000113.jpg
113,781192,two people standing near a table with a cake ,000000000113.jpg
113,785659,A woman cutting into a cake with a man standing behind her,000000000113.jpg
127,294738,A piece of cake and coffee are on an outdoor table.,000000000127.jpg
127,296094,Slice of cake next to large filled cup on wooden table.,000000000127.jpg
127,297819,A dessert and a cup of coffee sit next to a book and a purse.,000000000127.jpg
127,299049,A slice of cake and mug sitting on a wooden table outside.,000000000127.jpg
127,301668,a close up of a slice of cake on a plate,000000000127.jpg
133,420587,A loft bed with a dresser underneath it.,000000000133.jpg
133,421694,A bed and desk in a small room.,000000000133.jpg
133,421754,Wooden bed on top of a white dresser.,000000000133.jpg
133,423389,A bed sits on top of a dresser and a desk.,000000000133.jpg
133,424250,Bunk bed with a narrow shelf sitting underneath it. ,000000000133.jpg
136,261999,Two giraffes in a room with people looking at them.,000000000136.jpg
136,263400,Two giraffe standing next to each other in a room.,000000000136.jpg
136,266406,The giraffe is being kept by itself indoors. ,000000000136.jpg
136,266838,A man and woman staring at two giraffes through a window.,000000000136.jpg
136,268395,a giraffe in a enclosed area is watched by some people,000000000136.jpg
138,337561,The kitchen has odd looking colors in it.,000000000138.jpg
138,338509,Picture of a kitchen this has smaller photos of item within that kitchen. ,000000000138.jpg
138,338956,Three dimensional rendering of a kitchen area with various appliances. ,000000000138.jpg
138,339262,A series of photographs of a tiny model kitchen,000000000138.jpg
138,341731,Collage of pictures from a clean rustic kitchen. ,000000000138.jpg
142,99271,"Plate with a piece of bread, dark chocolate spread, bananas and a carton of Silk.",000000000142.jpg
142,101314,A sliced banana topped dessert sits on a plate.,000000000142.jpg
142,101335,There is a plate of banana and chocolate on bread,000000000142.jpg
142,104971,a close up of a plate of a jelly and banana sandwich,000000000142.jpg
142,113167,bread with banana milk and nutella on a table,000000000142.jpg
143,483949,Birds perch on a bunch of twigs in the winter.,000000000143.jpg
143,487240,A number of small birds sitting at the top of a bare tree.,000000000143.jpg
143,491767,Many birds perched on the limbs of a tree.,000000000143.jpg
143,492805,Eight birds perch on a branch on an overcast day.,000000000143.jpg
143,496462,Several birds are sitting on small tree branches.,000000000143.jpg
144,773663,Three giraffes stuck behind the confines of a zoo fence. ,000000000144.jpg
144,775478,Three giraffes standing in the dirt in a fenced in area.,000000000144.jpg
144,775925,a couple of giraffes eat some food out of a trey ,000000000144.jpg
144,776918,Two giraffes eating together out of a trough in a fenced area.,000000000144.jpg
144,780155,a number of giraffes near one another ,000000000144.jpg
149,481005,People gathered outside in a big field on a cloudy day,000000000149.jpg
149,481854,People are flying kites on a high school field.,000000000149.jpg
149,483387,People flying kites in a field on a cloudy day.,000000000149.jpg
149,484056,A host of kites being flown on a field by people.,000000000149.jpg
149,484926,a bunch of people are at a grass field ,000000000149.jpg
151,426043,A stop sign directs pedestrians as a train travels by.,000000000151.jpg
151,426076,A stop sign sits in the middle of the forest. ,000000000151.jpg
151,426460,A stop sign sitting near some tall trees.,000000000151.jpg
151,433180,A man leans out of a vehicle near a short stop sign in a forest.,000000000151.jpg
151,438220,A stop sign is shown close to the ground.,000000000151.jpg
154,202466,three zeebras standing in a grassy field walking,000000000154.jpg
154,211904,Three zebras are standing in an open field.,000000000154.jpg
154,215654,Three zebra are walking through the grass of a field.,000000000154.jpg
154,216620,Three zebras standing on a grassy dirt field.,000000000154.jpg
154,231686,Three zebras grazing in green grass field area.,000000000154.jpg
164,117663,A small kitchen with low a ceiling ,000000000164.jpg
164,145464,A small kichen area with a sunlight and and angled ceiling.,000000000164.jpg
164,173583,an image of a kitchen loft style setting,000000000164.jpg
164,205026,a small kitchen with a lot of filled up shelves ,000000000164.jpg
164,213867,A kitchen with a slanted ceiling and skylight.,000000000164.jpg
165,588923,a female in military uniform cutting a businessman's neck tie,000000000165.jpg
165,591785,A woman in a soldier's uniform pretends to cut the tie of a man using an enormous pair of scissors.,000000000165.jpg
165,743726,A funny picture of a woman holding a large pair of scissors attempting to cut a mans tie.,000000000165.jpg
165,744266,A woman soldier holding up a pair of giant scissors to someone's tie.,000000000165.jpg
165,744719,A man in a suit and a woman in military clothes.,000000000165.jpg
192,709797,A group of baseball players is crowded at the mound.,000000000192.jpg
192,713280,A baseball player at the area where one goes to bat ,000000000192.jpg
192,713673,A man that is standing in the dirt near a plate.,000000000192.jpg
192,715695,a baseball player on the home plate during a game,000000000192.jpg
192,716838,A baseball player for the Chicago Cubs stands at home plate.,000000000192.jpg
194,796856,a small pizza that is on a white plate,000000000194.jpg
194,799817,Small pizza sitting on a white plate with different toppings on it. ,000000000194.jpg
194,803441,The pizza is loaded with lots of toppings.,000000000194.jpg
194,806042,A small personal sized pizza is shown on display.,000000000194.jpg
194,806150,"An exotic pizza sits on a plate, with cheese and bits of meat on top.",000000000194.jpg
196,367436,This table is filled with a variety of different dishes.,000000000196.jpg
196,369605,A variety of food in dishes is displayed on a table.,000000000196.jpg
196,370646,"Table of food including carrots, peas, salad, corn, gravy, pies, bread",000000000196.jpg
196,371270,"A table layed out with food such as, salad, steamed peas and carrots, steamed corn, and bread rolls.",000000000196.jpg
196,377801,"A table full of food such as peas and carrots, bread, salad and gravy. ",000000000196.jpg
201,597266,Six snowboards are propped in the snow on a rail.,000000000201.jpg
201,598169,Five skateboards on a rack in a snow covered mountain ,000000000201.jpg
201,600230,There are skateboards leaning on a metal bar.,000000000201.jpg
201,600743,A row of snow boards sticking out of the snow.,000000000201.jpg
201,602606,Snowboards sticking in the snow by a rack ,000000000201.jpg
208,76457,A toy dinosaur standing on a sink next to a running faucet.,000000000208.jpg
208,82664,a faucet running next to a dinosuar holding a toothbrush,000000000208.jpg
208,83330,A toy lizard with a toothbrush in it's mouth standing next to a running water faucet in a bathroom.,000000000208.jpg
208,83648,A fake toy dinousure has a green tooth brush in its mouth,000000000208.jpg
208,84269,a sink with running water a mirror and a Godzilla toothbrush holder,000000000208.jpg
241,394357,a man standing holding a game controller and two people sitting,000000000241.jpg
241,396841,Young adult using video game controller with other looking on.,000000000241.jpg
241,397495,A man standing on a piece of equipment for a video game while holding the remote as four other people look on,000000000241.jpg
241,512839,people sitting around watching a man playing a video game,000000000241.jpg
241,513700,The group of friends is enjoyingplaying the video games.,000000000241.jpg
247,783936,a small airplane that is on a runway,000000000247.jpg
247,784260,a plane sits on a runway waiting for lift off,000000000247.jpg
247,788643,A small plane with a certificate on the propellers.,000000000247.jpg
247,788757,"A red, white and blue helicopter has a tag on one blade.",000000000247.jpg
247,792135,A small engine plane sitting on an air field being displayed.,000000000247.jpg
250,287532,A street sign on a pole on a street.,000000000250.jpg
250,403404,Two green and white street signs with building in background.,000000000250.jpg
250,403989,A city street has an intersection sign on a pole.,000000000250.jpg
250,404217,Street signs near tall buildings on the corner of Greenwich St and Vesey St.,000000000250.jpg
250,405780,A Greenwich street and Vesey street sign are hanging on a pole.,000000000250.jpg
257,488960,There is a small bus with several people standing next to it.,000000000257.jpg
257,491417,people standing besides a bus taking to each other,000000000257.jpg
257,495413,People eating from food trucks near a commemorative archway,000000000257.jpg
257,498524,Several people walking on a sidewalk near a large arch with figures on it.,000000000257.jpg
257,499340,A very big pretty arch way with a bunch of people near it.,000000000257.jpg
260,647914,A female traveler leaning on a luggage cart.,000000000260.jpg
260,649819,A woman is waiting with a cart full of luggage.,000000000260.jpg
260,652468,A woman next to a cart of luggage at a bus stop.,000000000260.jpg
260,654925,the woman is standing with her luggage ,000000000260.jpg
260,657445,A woman wearing a yellow shirt standing next to luggage.,000000000260.jpg
263,403439,A couple of elephants standing next to each other.,000000000263.jpg
263,404390,One adult and one small elephant in a dry lot.,000000000263.jpg
263,420242,Adult elephant pushing a baby elephant with its leg.,000000000263.jpg
263,421916,A couple of elephants playing with each other in their pen.,000000000263.jpg
263,426191,A baby elephant tries to get on top of another elephant. ,000000000263.jpg
283,338063,A bottle on wine next to a glass of wine.,000000000283.jpg
283,339005,A glass table with a bottle and glass of wine next to a chair.,000000000283.jpg
283,339299,A bottle and glass on red wine on a patio table,000000000283.jpg
283,342200,A glass of champagne next to the champagne bottle.,000000000283.jpg
283,346001,A glass of wine is shown wit a wine bottle right next to it on a table. ,000000000283.jpg
294,549895,A man standing in front of a microwave next to pots and pans.,000000000294.jpg
294,556411,A man displaying pots and utensils on a wall.,000000000294.jpg
294,556507,A man stands in a kitchen and motions towards pots and pans. ,000000000294.jpg
294,556993,a man poses in front of some pots and pans ,000000000294.jpg
294,560728,A man pointing to pots hanging from a pegboard on a gray wall.,000000000294.jpg
307,579020,The dog is playing with his toy in the grass,000000000307.jpg
307,580385,A dog that is standing in the grass near a frisbee.,000000000307.jpg
307,580682,A collie chasing a frisbee in the grass.,000000000307.jpg
307,586181,A cute dog is in the grass with a frisbee.,000000000307.jpg
307,587342,A brown and white dog chasing a blue and yellow frisbee.,000000000307.jpg
308,451843,the people are sampling wine at a wine tasting.,000000000308.jpg
308,452557,Group of people tasting wine next to some barrels.,000000000308.jpg
308,454051,People are gathered around a man tasting wine.,000000000308.jpg
308,455974,A man pouring wine from casks for patrons,000000000308.jpg
308,822591,People gather around a table while sampling wine.,000000000308.jpg
